						
番号	出店タイトル	PR文	画像	開催場所	タグ	メニュー
E4	ベトナム留学生	こんにちは、私たちはベトナム料理チームです！ 今年の技大際では、さっぱりしたフォー、香ばしい生春巻き、そして濃厚な塩コーヒーをご用意しています。 ベトナム料理が好きな方、初めての方もぜひ！ 私たちのブースに遊びに来てくださいね！	https://drive.google.com/file/d/1LrJ65CXgrifhcd8uRolz8mrkfyZx7gDF/view?usp=drive_link	機械建設棟エリア	学生出店, 国際グルメ, フード	チキン フォー, 春巻き, 塩コーヒー
E7	Waroeng Indonesia	激うま！本場インドネシアの「アヤムバカル」とスッキリジャスミン茶「テーボトル・ソスロ」!	https://i.imgur.com/JmnOhDL.jpeg	機械建設棟エリア	学生出店, 国際グルメ, フード, ドリンク	Ayam Cocol, Teh Botol Sosro, rice, Indonesian Instant Spices, Crispy Fried Tempeh Recipe
E9	Renkon Biryani	Visit our booth for delicious Bangladeshi food! Everyone is welcome!	https://i.imgur.com/yVXj1Mn.png	機械建設棟エリア	学生出店, 国際グルメ, フード, ドリンク	Renkon Biryani, Beef curry with Ruthi, Milk Tea
C3	豚丼	僕の夢は、  「学校のみんなに豚丼を  食べてもらうこと！！」	https://i.imgur.com/rBDdjmM.jpeg	電気棟エリア	フード, 企業出店, 学生出店	最強自家製炙りブタ丼
B8	NUT Cafe	コーヒーは農園から製法までこだわっています！！極上のスペシャリティコーヒーを1杯いかがですか？	https://i.imgur.com/3onpRUc.png	図書館エリア	学生出店, ドリンク	ハンドドリップアイスコーヒー, エアロプレスアイスコーヒー, エスプレッソ アイス （アメリカ―ノ）①, アイスオーレ, ハニーラテ, ネルドリップアイスコーヒ―, ドリップパック, コーヒー豆, コーヒーかすの消臭剤, オリジナルクッキ―
A2	液体窒素を使った冷やしパインを体験してみよう！	暑い夏にぴったりの冷やしパインと冷やしマシュマロで、クールダウンしませんか？	https://i.imgur.com/jBV5YE9.png	事務棟エリア	学生出店, スイーツ	冷やしパイン, 冷やしマシュマロ
A4	Stick Rusk	原信さんのパンの耳を再活用！  サクサクラスクを食べてSDGsに貢献しませんか？！	https://i.imgur.com/hoP3Bie.jpeg	事務棟エリア	学生出店, スイーツ	スティックラスク
E5	Muping	故郷の本格的なムーピン（タイ風焼き豚）とチャータイ（タイティー）	https://i.imgur.com/53wYX8n.jpeg	機械建設棟エリア	学生出店, 国際グルメ, フード, ドリンク	豚焼き, タイのお茶(Thai Tea)
D2	Atim	本場メキシコのTAKOSあるよ！うまいよ！見て楽しい食べて美味！	https://i.imgur.com/IUgnMqa.png	メインステージエリア	学生出店, フード	チキンタコス, レバータコス, ソフトドリンク（コーラ，三ツ矢サイダー，キリンレモン，オレンジジュース，ジンジャーエール，ウーロン茶）
D4	釣り部クッキング	釣り部プレゼンツ！コーヒーゼリー爆誕！プルプル食感と香りで思い出を「一本釣り」！ぜひ！	https://i.imgur.com/kekXthK.jpeg	メインステージエリア	学生出店, フード, スイーツ	油揚げ, ゼリー
A9	かき氷、雪冷房展示	雪と氷のスペシャリストが提供する ”絶品ふわふわ” かき氷をぜひお試しください！	https://i.imgur.com/4l8Uc0l.jpeg	事務棟エリア	学生出店, スイーツ	かき氷
E12	ラオス料理	ラオスのおいしい料理を召し上げれ！！！	https://i.imgur.com/jDsJUiE.png	機械建設棟エリア	学生出店, 国際グルメ, フード	ラオスビール, フライドミートボール, カオ・プン
C2	漬物屋 つるかめ堂	悠久太鼓愛好会つるかめ会です。  和太鼓のステージと出店よろしくお願いします！	https://firebasestorage.googleapis.com/v0/b/group-manager-2.appspot.com/o/IMG_2367.jpeg?alt=media&token=3605f391-950f-4b25-8c72-719239f0788c	電気棟エリア	フード, 学生出店	きゅうりの一本漬け
E2	Pakistan Menu	"Experience the rich flavors of Pakistan! From spicy biryani to savory kebabs, our stall brings you authentic, homemade taste straight from the heart of tradition."	https://i.imgur.com/XJmlWYJ.jpeg	機械建設棟エリア	学生出店, フード, 国際グルメ	Chicken Biryani, kheer, chana chat, sharbt-e shireen
B4	たこ焼き	どうも！弓道部です！  「たこやき」やります。  キッチンカーなんぞに負けるか。	https://i.imgur.com/bhh620k.jpeg	図書館エリア	学生出店, フード	たこ焼き
キッチンカー1	s.m.m.（スムム）	普通のワッフルとは一味ちがうサクッ！もちっ！のワッフル生地が自慢のバブルワッフル	https://drive.google.com/file/d/1BJUADA8nEl4X2DKK_n_EbpHDDJuFpF37/view?usp=drive_link	キッチンカーエリア	キッチンカー	
E3	中国料理	中国のうまいもの、お任せください！	https://i.imgur.com/7EPFCTj.jpeg	機械建設棟エリア	学生出店, フード, 国際グルメ, ドリンク, スイーツ	焼き餃子, 焼き冷麺, 冷やし中華, エリンギの塩コショウ炒め, ジャスミン入りアイス豆乳, 手作りレモンティー, ビーフン蒸し（ホット）
A3	シャハカレー	本出店では、三条市立大学の学長の母国にちなんだ料理「チャパティ包みカレー」をご提供します。スパイスの香りと、もちもちとしたチャパティの食感が楽しめる一品です。異文化に触れながら美味しく国際交流できるこの機会を、ぜひお見逃しなく！	https://drive.google.com/file/d/1oT37q5qNIMvqLrV97oSIzmJBNXZpN2qW/view?usp=drive_link	事務棟エリア	学生出店, フード	カレー(チャパティ包み)
キッチンカー2	PANDACAFE	黒いモチモチのクレープにパンダを乗せて可愛くしちゃおう！	https://drive.google.com/file/d/1k0rWGOcyJCjrXjHn3152Gh-A49fBz8x2/view?usp=drive_link	キッチンカーエリア	キッチンカー	クレープ, タピオカ, アイス, 揚げ餅, ヤンニョムチキン
キッチンカー3	AtotM アトム	県内外問わず多数のイベントにて飲食提供しているアゼケンの笹川流れの塩唐揚げを是非食べてみてください	https://drive.google.com/file/d/1LIzesRFh4wsSpH5lG87FZbiQqd7BgR1B/view?usp=drive_link	キッチンカーエリア	キッチンカー	塩から揚げ, たこ焼き, ロングポテト, 牛タン串, 焼きそば, 醬油フランク, イカ串, ぽっぽ焼き, 焼き牡蠣, かき氷, 冷凍パイン, フルーツドリンク, スムージー, 芋チップス
キッチンカー4	Happy Berry	こだわりのもちもち生地に甘さ控えめのクレープをたっぷりのせたクレープです。是非ご賞味くださいませ	https://drive.google.com/file/d/15TJlPGnL8Fdb4MrXUzTSc_OsKyNnbCrw/view?usp=drive_link	キッチンカーエリア	キッチンカー	クレープ, ドリンク, クレープ, かき氷, ドリンク, かき氷
キッチンカー5	Relucks	新潟県唯一のキューバサンド専門店です！ここでしか味わえないキューバサンドをぜひご賞味ください！	https://drive.google.com/file/d/1XIg_Bram3Shfly-vqiIER_jOUAX1ayEX/view?usp=drive_link	キッチンカーエリア	キッチンカー	キューバサンド, 生アボカドサンド, あんバターサンド, チョコバナナサンド
A7	NIITポップコーン	新潟工科大学工科大祭実行委員会です。私たちは昨年に引き続き工科大特製ポップコーンを販売します！	https://drive.google.com/file/d/1IBJmOo83dtsOwITUal6S-CWAXJ7SLkfP/view?usp=drive_link	事務棟エリア	学生出店, スイーツ	ポップコーン, ドリンク
D5	震央米ピザ	木沢ハウス名物のピザは、新潟県中越大震災の震央付近で育った魚沼コシヒカリ「震央米」の米粉で作ったもの。まさに、ここでしか味わえない逸品なのです！	https://drive.google.com/file/d/1CJZuKbXNye9v6PY4g4yGhZNNWY_3UWK-/view?usp=drive_link	メインステージエリア	フード, 企業出店	ピザ
A5	深才下宿貸間組合	地元産新米、長岡名物醤油赤飯、ひんやり食感の冷凍やきいもを販売します！是非ご賞味下さい。	https://drive.google.com/file/d/1B4FCxSmUYI2sVHEs2AmqEHJJ-ONYkavm/view?usp=drive_link	事務棟エリア	企業出店	新米、しょうゆ赤飯、冷やしやきいも
E1	Gidasai 2025 (SLC)	Experience the rich flavors of Sri Lanka! Join us for authentic Sri Lankan cuisine, crafted with love, served fresh for our Japanese community to enjoy.	https://i.imgur.com/CFWLZhJ.jpeg	機械建設棟エリア	学生出店, 国際グルメ, フード, ドリンク	Sri lankan sweet Pan Cake, Sri lankan toasted Bread, Dhal curry, Sri Lankan seeni sambal, Boiled Egg, Parata roti, Belimal Drink Hot and cold
キッチンカー6	鳥道場とりしず	秘伝スパイスで絶妙に味つけされた肉厚の半羽鶏を揚げたてで食べる喜び  一度食べたらやみつき間違い無し！	https://drive.google.com/file/d/1XhC-GSWsASKhdS8rAivn3-jDCIpPoN4j/view?usp=sharing	キッチンカーエリア	キッチンカー	半羽から揚げ, 鶏皮餃子, つくね揚げ, から揚げ(カレー、塩味)
キッチンカー7	タピジャン	新潟県で一番👆！？もちもち黒糖生タピオカが人気の「タピジャン」が技大祭に登場！かわいい“トキの子たち”が目印のキッチンカーで、とろける生わらびもちやぷるぷる杏仁豆腐、こりこりナタデココなど、お好みでカスタムできるドリンクをお楽しみいただけます✨見た目も味も大満足な、タピジャンのときめきドリンクをぜひ飲みに来てね💖	https://drive.google.com/file/d/1jcga-ZcXHQE9maW24-XynCrCuJ5lfzjQ/view?usp=drive_link	キッチンカーエリア	キッチンカー	黒糖生タピオカドリンク
B1	星雲わたあめ	星雲みたいな，グラデーションが綺麗なわたあめを販売します．  天体写真展示もぜひご覧ください！	https://i.imgur.com/TgNEuln.png	図書館エリア	学生出店, スイーツ	わたあめ
A6	出張、長岡大学	MOCHIMOGUさんのヒンヤリモチっとが特徴の冷やし大判焼きを販売します！気になった方はぜひ！	https://drive.google.com/file/d/1f74AzB8unv-Fnp-ASuX07iVmwm-73atc/view?usp=drive_link	事務棟エリア	学生出店	冷やし大判焼き
